user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,11.51074122063906,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,8.8881806188106,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,8.870392123535492,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,7.948601141545341,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,6.438416700055756,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,6.192504081394014,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.590362208532345,0
U_10000168,8,C_course-v1:TsinghuaX+90640012X+sp,5.548480542519336,0
U_10000168,9,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.140552129927634,0
U_10000168,10,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.107597503740662,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,4.959664296226036,0
U_10000168,12,C_course-v1:TsinghuaX+20120143X+sp,4.833276462511943,0
U_10000168,13,C_course-v1:TsinghuaX+20220332X+sp,4.8280565672134745,0
U_10000168,14,C_course-v1:TsinghuaX+20430064X+sp,4.696123694412683,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,4.461130438476291,0
U_10000168,16,C_course-v1:BIT+PHY1701702+sp,4.246423108890126,0
U_10000168,17,C_course-v1:TsinghuaX+00612642X+sp,4.22969637602213,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,4.069503604244483,0
U_10000168,19,C_course-v1:TsinghuaX+10421094X+2019_T1,3.8503631627823713,0
U_10000168,20,C_course-v1:TsinghuaX+20440333X+sp,3.8180251416559416,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.917783274169807,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.033789404586496,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.668406664324346,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,8.607578399114429,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,8.20866470252986,0
U_10000205,6,C_course-v1:TsinghuaX+34100325_X+sp,7.125446280262676,0
U_10000205,7,C_course-v1:NJU+C1026+2016_T2,5.58332277771787,0
U_10000205,8,C_course-v1:TsinghuaX+20440333X+sp,4.529825501547415,0
U_10000205,9,C_course-v1:SCUT+145033+sp,3.44224363020629,0
U_10000205,10,C_course-v1:TsinghuaX+20430064X+sp,3.297632276890254,0
U_10000205,11,C_course-v1:TsinghuaX+30640014X+sp,3.2701953690775927,0
U_10000205,12,C_course-v1:TsinghuaX+60240202X+sp,3.214558266772932,0
U_10000205,13,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.1903816178738706,0
U_10000205,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.189130956601408,0
U_10000205,15,C_course-v1:TsinghuaX+00690092X+sp,3.168697686512272,0
U_10000205,16,C_course-v1:TsinghuaX+10421075X_2015_2+sp,2.730043046710591,0
U_10000205,17,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2.6424702223099286,0
U_10000205,18,C_course-v1:TsinghuaX+00701032X+sp,2.578648961404962,0
U_10000205,19,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,2.541151511699617,0
U_10000205,20,C_course-v1:NBCC+NBCC000201+_sp,2.4761101895979167,0
U_10000325,1,C_course-v1:TsinghuaX+30240184_2X+sp,22.054418999091272,0
U_10000325,2,C_course-v1:SCUT+145055+sp,18.096899079419952,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,12.57717695749878,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,11.950899580041638,0
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,7.58364915915657,0
U_10000325,6,C_course-v1:MITx+6_00_1x+sp,7.0324676154122345,0
U_10000325,7,C_course-v1:SCUT+145033+sp,5.396807403687123,1
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.685709631512392,0
U_10000325,9,C_course-v1:TsinghuaX+2018032801X+2018_T1,2.7834541570418114,0
U_10000325,10,C_course-v1:TsinghuaX+34100325_X+sp,2.704277082012305,0
U_10000325,11,C_course-v1:TsinghuaX+20250103X+sp,2.348645715598703,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,2.1384249232677184,0
