"run_name","HR@10","HR@20","NDCG@10","NDCG@20","Recall@10","Recall@20","evaluated_users","candidate_courses","mask_train_positives"
"ease_reg_500","0.5790669385710708","0.6888304532932632","0.3676471480631054","0.3975962549427014","0.5355401232371054","0.6481061268060365","55902","698","1"
"fusion_best_rp3","0.5831097277378269","0.6953239597867698","0.3718035429005403","0.4022318659401965","0.540178915409439","0.6548280375421149","55902","698","1"
"fusion_ease_kg_pop","0.5777789703409538","0.6878644771206754","0.3675902723873525","0.3975073965103924","0.5343591416842236","0.6469097254768135","55902","698","1"
"fusion_extended","0.579353153733319","0.69115595148653","0.368386101422932","0.3988032494152764","0.5362049772077446","0.6506794307813477","55902","698","1"
"fusion_search_best","0.580641121963436","0.6928732424600194","0.3688946909291012","0.3993646462100542","0.5375269531138932","0.6522578460256426","55902","698","1"
"fusion_search_best_reg100","0.5811598869450109","0.6927301348788952","0.3704699632154848","0.4007321257462363","0.5380674190642835","0.6520535823513777","55902","698","1"
"itemknn_cosine_k100_s100","0.5577617974312189","0.6716217666630889","0.3513687059029886","0.3821476255821533","0.5158962912046298","0.6318379959665025","55902","698","1"
"kg_profile","0.2960538084505026","0.3848341740903724","0.1769363063951339","0.1988672609581167","0.2676791786628966","0.3503781500101481","55902","698","1"
"lightgcn","0.5140960967407249","0.6134843118314193","0.3259796929853685","0.3524569148050173","0.4752671574795431","0.5746756729792957","55902","698","1"
"mf_bpr","0.5163679295910701","0.6257200100175306","0.3253700535477285","0.3541445101994371","0.4783230503498317","0.5872712391021744","55902","698","1"
"popularity","0.3410074773711137","0.4504668884834174","0.1792134110111605","0.2071473571965601","0.3059189948745892","0.4118366633377144","55902","698","1"
"rp3beta_a07_b04_k100","0.5724482129440807","0.6877034810919108","0.3615256155981579","0.3927281022359752","0.5302441128617498","0.6474473328794814","55902","698","1"
"rp3beta_a09_b02_k300","0.581302994526135","0.694465314300025","0.3685552398817227","0.3992202872468317","0.5385870191653731","0.6538532718751203","55902","698","1"
