w_ease,w_itemknn,w_rp3,w_pop,w_kg,HR@10,HR@20,NDCG@10,NDCG@20,evaluated_users,candidate_courses,mask_train_positives
1.0,0.13201193193276725,0.29522955414984,0.16735874314823873,-0.124697135559054,0.5811419984973704,0.6927301348788952,0.3704644500851138,0.40073439446814724,55902,698,1
1.0,0.08650243043149439,0.1291486984742737,0.18339204547824733,0.07956606866099547,0.5808200064398411,0.6916747164681049,0.3705554735032117,0.40065715419342013,55902,698,1
1.0,0.13378262096667035,0.32892097612947657,0.1745248897031379,-0.1704416096619059,0.5815355443454617,0.6929090193553004,0.3704219741279051,0.40064126936079836,55902,698,1
1.0,0.027458667154825617,0.24525912292663252,0.16205753467086959,-0.12905872327078055,0.5813387714214161,0.6915137204393402,0.37066447915683254,0.40060688958338464,55902,698,1
0.75,0.05,0.15,0.05,0.0,0.5803370183535472,0.6914242782011377,0.37045140394846426,0.40057820843412356,55902,698,1
1.0,0.23710607881543747,0.32923220048201696,0.15535817052667067,0.04837418608001981,0.5808557833351222,0.6926406926406926,0.3702328268121604,0.4005268427936774,55902,698,1
1.0,0.08094179853878383,0.13853991647995303,0.05676703616134271,-0.0005324554605992959,0.5803727952488283,0.6910128439054058,0.3703487942351677,0.40033387935476406,55902,698,1
1.0,0.13168868725127278,0.06638136980997603,0.16017983960168886,-0.07226327843925504,0.5802654645629852,0.6909949554577653,0.3702199208280651,0.40028762686285585,55902,698,1
0.7,0.1,0.1,0.05,0.05,0.5804085721441093,0.6906729634002361,0.37032255997331265,0.40023973976898125,55902,698,1
0.85,0.0,0.1,0.05,0.0,0.5804980143823119,0.6902078637615827,0.37037139977975825,0.4001613302187416,55902,698,1
1.0,0.17978476653642053,0.2905930896747617,-0.05797559416458453,-0.07252841342450195,0.5796214804479267,0.6908876247719223,0.3699211302977626,0.4000696089910437,55902,698,1
1.0,0.21562032917922233,0.12424153231231513,0.04860130385037506,-0.05114227328126805,0.5801760223247826,0.6907981825337197,0.3700488849743963,0.4000487894889418,55902,698,1
1.0,-0.060532593162281906,0.16995658285757728,-0.01309263954260595,-0.051799789156780796,0.5803012414582662,0.6896712103323673,0.370383037818043,0.4000348128680227,55902,698,1
1.0,0.20891717864144907,0.20939660251376338,0.14022050390254204,0.19185033954059744,0.5794783728668026,0.69045830202855,0.3698901075310567,0.40002720757315274,55902,698,1
1.0,0.17639240134256598,-0.000848616322215362,0.18678488006495625,0.1679400642149113,0.5796214804479267,0.689796429465851,0.37010647815193704,0.400018933158464,55902,698,1
1.0,0.32106043473526713,0.2438633131613918,0.055610500889186565,0.06384290699637973,0.579210046152195,0.6910128439054058,0.3696131133302287,0.39995525259664233,55902,698,1
1.0,0.21503228890954176,0.0071190656089413495,0.026819903345779578,-0.03337161507398806,0.5791921577045543,0.689832206361132,0.3697482754862931,0.399764910023174,55902,698,1
1.0,0.06009662996031692,0.09741483895852812,-0.012011635037532054,0.07025568913984925,0.5794962613144431,0.6888304532932632,0.3701126654278056,0.39975333610345853,55902,698,1
1.0,0.1641739311815453,0.010668847726760383,0.06231842236875568,-0.06473886290559569,0.5799971378483775,0.6898500948087725,0.3699300509905533,0.3997317807742521,55902,698,1
1.0,-0.14357105612753482,0.15215787338681894,-0.003406667063629548,0.04055284853616045,0.5796393688955672,0.6889377839791063,0.37010629347878526,0.3997095045370915,55902,698,1
1.0,0.16793540207232568,0.2263660485395433,0.006061478528940706,0.13035810335022802,0.5794425959715216,0.6896175449894458,0.36977120228015387,0.3996961582570118,55902,698,1
1.0,0.12303011495032126,0.30863164982142033,-0.10669471751994451,0.03972639690783236,0.5794425959715216,0.6893134413795571,0.3698363110903585,0.39965813228612646,55902,698,1
1.0,0.05,0.05,0.0,-0.05,0.5793889306286001,0.6890808915602304,0.36987715763401124,0.3996554252877118,55902,698,1
1.0,-0.05,0.1,0.0,-0.05,0.5798361418196128,0.6889198955314658,0.37004625784279205,0.39962833907105133,55902,698,1
1.0,0.2766568281299997,-0.0660881724338774,0.1245731490012934,-0.08146111286072029,0.5792279345998355,0.6896712103323673,0.3696280760703758,0.3996133595891812,55902,698,1
1.0,0.25712153093582524,-0.08261927418943502,0.046203309743546805,-0.038866609788170414,0.5790669385710708,0.6891524453507925,0.3697248502950957,0.3995499734874193,55902,698,1
1.0,-0.009193253449702093,0.18591299086135235,-0.00505477357099543,-0.1628445804970211,0.5795141497620836,0.6887410110550607,0.3699147321533488,0.39953288956607064,55902,698,1
1.0,0.2086972526631968,0.27111396486176287,-0.06248578159924226,0.07551788228521905,0.5788880540946657,0.6889735608743873,0.36953322920775256,0.3994813017826768,55902,698,1
1.0,0.22251744332382592,0.29474917865226424,-0.11368376956635246,0.060066423328276275,0.5784945082465743,0.6887767879503417,0.3693792831625698,0.3993453381312605,55902,698,1
1.0,0.0,0.0,0.0,0.0,0.5785660620371365,0.6879896962541591,0.36966378880017187,0.3993348346273674,55902,698,1
