w_ease,w_itemknn,w_rp3,w_pop,w_kg,HR@10,NDCG@10,Recall@10,HR@20,NDCG@20,Recall@20,evaluated_users,candidate_courses,mask_train_positives
1.0,0.0683886379540887,0.3403136588460165,0.18845880002400706,0.17582895243943397,0.5827519587850166,0.3719039322290834,0.5397627381632742,0.694429537404744,0.4022221160698029,0.653892940237478,55902,698,1
1.0,-0.057030097218041725,0.3346087147999739,0.1066258523973822,0.038444497386235316,0.5828950663661407,0.37188312455970507,0.5397476411990519,0.6945368680905871,0.40220768240509736,0.6539275807129793,55902,698,1
1.0,-0.017412575415540393,0.311105492082448,0.02968723938827944,0.047492986291847755,0.5827698472326571,0.3718228260813477,0.5396873020891261,0.6940002146613717,0.40203066552634675,0.6533689719891888,55902,698,1
1.0,0.03337223168214845,0.3277928192566564,0.18320932274716345,0.188070489115306,0.5824657436227684,0.37175490282817353,0.5393866544006389,0.6938571070802476,0.4020288872221252,0.6532947704244323,55902,698,1
1.0,0.0656545904947062,0.3253742181773177,0.13444867416441902,-0.10050401592667875,0.5830381739472649,0.37173929199586997,0.539795443106358,0.6942864298236199,0.4020204537877041,0.6537993741650562,55902,698,1
1.0,0.027018110436114323,0.28945212176666457,0.05798301597883215,0.08712548059415715,0.5828056241279381,0.37180905864165276,0.539765386582795,0.6938749955278881,0.4019586175307564,0.6532887224254681,55902,698,1
1.0,0.30625409445129304,0.3405490707380494,0.1382967159952342,0.020868513852252107,0.5831276161854674,0.37160532126067836,0.5400661549473178,0.6948230832528354,0.4019547240482031,0.6543979907425286,55902,698,1
1.0,0.07792076703166859,0.23789885851776996,0.09107044828687505,0.042298755485672024,0.5825015205180495,0.37164486000808683,0.5393946981955776,0.6940538800042932,0.4019345603452117,0.6534576830725869,55902,698,1
1.0,0.06929282372119697,0.290134212027237,-0.056908633809242354,-0.003953273431970716,0.5826804049944546,0.37168296402000506,0.5395340446159158,0.6935887803656399,0.4018156764355964,0.6529150803793456,55902,698,1
1.0,0.1923682485603628,0.2713946509109003,0.11361627153579978,0.10439936043019266,0.5823226360416444,0.37149178178041453,0.5391924610943925,0.6938928839755286,0.4017941109444094,0.653303558479265,55902,698,1
1.0,0.0812529336617244,0.23487578601006823,0.15332863107666334,-0.02012056650443647,0.5825730743086115,0.37154685992839737,0.5393730485871512,0.6938213301849665,0.40179239866015787,0.6532512057302289,55902,698,1
1.0,0.0899220933580284,0.3039935614790098,-0.023910632728774944,-0.05742534173544053,0.5829308432614217,0.3716604554341139,0.5396683357478457,0.693767664842045,0.40178252526147323,0.6530734510217776,55902,698,1
