user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,13.365341159304268,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,10.136581478938359,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,9.817731174398537,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,8.665941361907777,0
U_10000168,5,C_course-v1:TsinghuaX+00740123_X+sp,7.093203266783052,0
U_10000168,6,C_course-v1:TsinghuaX+30700313X+sp,7.0151614402851905,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,6.2739218545566775,0
U_10000168,8,C_course-v1:TsinghuaX+90640012X+sp,5.922884028952154,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.908125464704346,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.706390727200976,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,5.670800534478748,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,5.320059875445816,0
U_10000168,13,C_course-v1:TsinghuaX+20250103X+sp,5.232009273375437,0
U_10000168,14,C_course-v1:TsinghuaX+20220332X+sp,5.05454291272579,0
U_10000168,15,C_course-v1:TsinghuaX+20120143X+sp,5.02376572938423,0
U_10000168,16,C_course-v1:TsinghuaX+10421094X+2019_T1,4.802319773740612,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,4.710818227034613,0
U_10000168,18,C_course-v1:TsinghuaX+00612642X+sp,4.527410824177254,0
U_10000168,19,C_course-v1:TsinghuaX+30640014X+2019_T1,4.438334915504607,0
U_10000168,20,C_course-v1:TsinghuaX+20250064+sp,4.140144150298124,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,17.635554243131352,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,12.052209083354567,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,10.46162700651658,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,9.254808100097726,0
